year,age_group,gender,area_code,area_name,pop_estimate
2007,All ages,Persons,W06000021,Monmouthshire,89592
2007,All ages,Persons,W06000022,Newport,141376
2007,All ages,Persons,W06000023,Powys,131982
2007,All ages,Persons,W06000024,Merthyr Tydfil,57173
2008,All ages,Persons,W06000001,Isle of Anglesey,69916
2008,All ages,Persons,W06000002,Gwynedd,119746
2008,All ages,Persons,W06000003,Conwy,114371
2008,All ages,Persons,W06000004,Denbighshire,94739
2008,All ages,Persons,W06000005,Flintshire,151501
2008,All ages,Persons,W06000006,Wrexham,132371
2008,All ages,Persons,W06000008,Ceredigion,74971
2008,All ages,Persons,W06000009,Pembrokeshire,121134
2008,All ages,Persons,W06000010,Carmarthenshire,182517
2008,All ages,Persons,W06000011,Swansea,234139
2008,All ages,Persons,W06000012,Neath Port Talbot,139481
2008,All ages,Persons,W06000013,Bridgend,137175
2008,All ages,Persons,W06000014,Vale of Glamorgan,125713
2008,All ages,Persons,W06000015,Cardiff,332790
2008,All ages,Persons,W06000016,Rhondda Cynon Taf,234724
2008,All ages,Persons,W06000018,Caerphilly,176259
2008,All ages,Persons,W06000019,Blaenau Gwent,69820
2008,All ages,Persons,W06000020,Torfaen,91094
2008,All ages,Persons,W06000021,Monmouthshire,90109
2008,All ages,Persons,W06000022,Newport,142744
2008,All ages,Persons,W06000023,Powys,132865
2008,All ages,Persons,W06000024,Merthyr Tydfil,57688
2009,All ages,Persons,W06000001,Isle of Anglesey,69884
2009,All ages,Persons,W06000002,Gwynedd,120344
2009,All ages,Persons,W06000003,Conwy,114623
2009,All ages,Persons,W06000004,Denbighshire,94444
2009,All ages,Persons,W06000005,Flintshire,151985
2009,All ages,Persons,W06000006,Wrexham,133295
2009,All ages,Persons,W06000008,Ceredigion,74642
2009,All ages,Persons,W06000009,Pembrokeshire,121563
2009,All ages,Persons,W06000010,Carmarthenshire,182846
2009,All ages,Persons,W06000011,Swansea,235601
2009,All ages,Persons,W06000012,Neath Port Talbot,139537
2009,All ages,Persons,W06000013,Bridgend,137783
